Listing ID,Listing Name,Listing Sync,Show Listing,Listing Status,PMS Name,Base Price,Recommended Base Price,Min Price,Max Price,Bedroom Count,City,Customization Group,Customization Sub Group,Tags,Total Occupancy ( Next 60 Days ),Total Occupancy ( Next 90 Days ),Nights Booked ( Past 7 Days ),Nights Booked ( Past 15 Days )
78819,"Seann Gloss 459 (PF) -- Splash of Moonshine - Heated Indoor Pool, Hot Tub, Arcade/Game Room",TRUE,TRUE,available,hostaway,240,Unavailable,105,,2,Pigeon Forge,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 1,HA1,NotKnox,PF,Safely,Summer,Lily,Group 2,Pet,SCounty,3-4BR,Kyle,PrivateIndoorPool,2BDR,hottub,8guest,indoor pool,Key; vrbo:1779783; airbnb:1151807143597215795",70 %,63 %,4,7
78824,Natasha Ross 2808 (PF) -- Cozy Smoky Mountain Tiny House,TRUE,TRUE,available,hostaway,145,Unavailable,90,,2,Pigeon Forge,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 3,HA1,Katie,NotKnox,PF,Safely,Junior,SCounty,3-4BR,Group 1,Kyle,6guest,2BDR,Top; vrbo:1982023; airbnb:43389843",70 %,50 %,10,16
79561,Julie Michala 338-101 (BC) -- Modern Cades Cove Condo w/ Community Pool,TRUE,TRUE,available,hostaway,140,Unavailable,80,,2,Townsend,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Condo,BC,BlessedCleaningTyler,Group 3,HA1,Junior,Katie,NotKnox,Safely,SCounty,1-2BR Cabin,3-4BR,Blake,Kyle,Townsend Condo,townsend,2BDR,Community outdoor pool,6guest; vrbo:2075067; airbnb:45485585",45 %,30 %,12,12
82620,Chad Williams 326-104 (BC) -- Gorgeous Cades Cove Condo with Community Pool!,TRUE,TRUE,available,hostaway,115,Unavailable,90,,2,Townsend,1-4 BR with MINIMUM REQUESTS,,"1-2BR Cabin,BC,Group 1,Katie,NORMAL,NotKnox,Safely,Group 2,SCounty,1-2BR Condo,3-4BR,Andrew,BlessedCleaningTyler,HA1,Townsend Condo,townsend,community outdoor pool,4guest,2BDR,Key; vrbo:2248063; airbnb:48194098",58 %,39 %,11,20
82621,Chad Williams 223-202 (BC) -- Elegant Cades Cove Condo with Community Pool!,TRUE,TRUE,available,hostaway,110,Unavailable,90,,2,Townsend,1-4 BR with MINIMUM REQUESTS,,"1-2BR Condo,BC,BlessedCleaningTyler,Group 2,HA1,Katie,NotKnox,Safely,NORMAL,SCounty,1-2BR Cabin,3-4BR,Andrew,Group 1,Townsend Condo,townsend,community outdoor pool,4guest,2BDR,Key; vrbo:2248064; airbnb:48193245",65 %,43 %,12,18
83048,Brett Dickinson 338-203 (BC) -- Cozy Cades Cove Condo with Community Pool!,TRUE,TRUE,available,hostaway,120,Unavailable,90,,2,Townsend,1-4 BR with MINIMUM REQUESTS,,"BC,BlessedCleaningTyler,Group 3,HA1,Junior,Katie,NotKnox,Safely,SCounty,1-2BR Cabin,1-2BR Condo,3-4BR,Blake,Kyle,Townsend Condo,townsend,6guest,2BDR,Community outdoor Pool; vrbo:2256784; airbnb:48361809",95 %,97 %,0,0
83165,"Josef Wankerl 1030 (GAT) -- Bear View Chalet - Hot tub, Near Ober!",TRUE,TRUE,available,hostaway,175,Unavailable,90,,3,Gatlinburg,1-4BR Cabins / House,3-4 Bedrooms,"GAT,Group 2,HA1,Katie,NORMAL,NotKnox,Safely,TendwellCleaning,BlessedCleaningTyler,3-4BR,SCounty,1-2BR Cabin,Blake,Kyle,Gat,10guest,3BDR,hottub,view,Community Pool,Normal,Low 3-4BR; vrbo:2298653",80 %,77 %,5,19
84093,"Chuane Li 1483 (SCounty) -- Bear Claw Cove - Hot Tub, Fireplace, View",TRUE,TRUE,available,hostaway,155,154.0,85,,2,Sevierville,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 2,HA1,Katie,NotKnox,Pet,Safely,SCounty,3-4BR,Scounty,2BDR,hottub,OnB- 4/26/21,8guest,Normal; vrbo:2334080; airbnb:49318725",48 %,39 %,2,14
84248,Carl Chadwell 116-206 (KCity) -- Historic Sterchi Loft on Gay St,TRUE,TRUE,available,hostaway,220,209.0,100,,2,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 3,HA2,KCity,Regina,Safely,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Group 1,Kyle,NotKnox,Knox,2BDR,8Guest,Key; vrbo:2298656; airbnb:33966749",23 %,16 %,9,15
84250,Dylan Robinson 116-203 (KCity) -- City Loft w/ View of Gay St,TRUE,TRUE,available,hostaway,225,Unavailable,110,,2,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 2,HA1,KCity,Safely,Summer,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Group 1,HA2,Kyle,NotKnox,Knox,2BDR,8Guest,Key; vrbo:2298659; airbnb:17525438",13 %,10 %,3,9
